MES_FEMINICIDIO,CEM,VICTIMA_EDAD,VICTIMA_NRO_HIJOS,VICTIMA_EMBARAZO,DPTO_OCURRIO,PROV_OCURRIO,DIST_OCURRIO,ZONA_OCURRIO,AGRESOR_EDAD,ALCOHOL_DROGAS,VINCULO,AGRESOR_TRABAJA,ACUCHILLAMIENTO,GOLPES_DIVERSOS,DISPARO_BALA,ENVENENAMIENTO,DESBARRANCAMIENTO,ASFIXIA_ESTRAGULAMIENTO,ATROPELLAMIENTO,QUEMADURA,OTRO,LUGAR_DEL_FEMINICIDIO,MEDIDAS_TOMO_PROTECCION,SITUACION_DEL_AGRESOR
11,MIRAFLORES,33,1,0,AREQUIPA,AREQUIPA,MIRAFLORES,1,42,1,VECINO,1, , , , , , , , ,1,1,1,1
11,VILLA RICA,43,4,0,PASCO,OXAPAMPA,VILLA RICA,1,46,0,ESPOSO,1, , , , , , , , ,1,9,2,1
11,HUALGAYOC,26,2,0,CAJAMARCA,HUALGAYOC,HUALGAYOC,2,31,0,CONVIVIENTE,1,1, , , , , , , , ,6,6,4
11,MANCHAY,31,1,0,LIMA,LIMA,PACHACAMAC,1,40,0,EX CONVIVIENTE,0, , , , , ,1, , , ,4,2,1
11,COMISARIA HUACHO,45,1,0,LIMA,HUAURA,HUACHO,1,40,0,EX CONVIVIENTE,1, , ,1, , , , , , ,1,4,2
11,CHINCHEROS,26,2,0,APURIMAC,CHINCHEROS,ANCO HUALLO,1,37,0,EX CONVIVIENTE,1,1, , , , ,1, , , ,1,6,1
11,COMISARIA MAZAMARI,36,0,0,JUNIN,SATIPO,MAZAMARI,2,25,1,DESCONOCIDO,0, , , , , , , , ,1,6,1,2
11,COMISARIA SAN SEBASTIAN,19,0,0,CUSCO,CUSCO,SAN SEBASTIAN,1,21,1,DESCONOCIDO,0, , , , , , , , ,1,8,9,1
11,PUERTO INCA,30,3,0,HUANUCO,PUERTO INCA,YUYAPICHIS,1,35, ,CONVIVIENTE,1, , ,1, , , , , , ,9,9,4
11,GRAN CHIMU,48,2,0,LA LIBERTAD,GRAN CHIMU,MARMOT,2,50,0,CONVIVIENTE,1, , ,1, , , , , , ,5,1,4
11,TRUJILLO,34,0,0,LA LIBERTAD,TRUJILLO,TRUJILLO,1,26,0,ENAMORADO,0, , , , , ,1, , , ,1,2,2
11,COMISARIA PUNO,67,0,0,PUNO,PUNO,PUNO,1,47,1,YERNO,0, ,1, , , , , , , ,1,1,6
11,OTUZCO,47,5,0,LA LIBERTAD,OTUZCO,SINSICAP,2,34,0,OTRO,1, , , , , , , , ,1,9,1,1
12,COMISARIA SANTA BARBARA,7,0,0,PUNO,SAN ROMAN,JULIACA,1,36, ,DESCONOCIDO, , , , , , , , , ,1,9,9,6
12,COMISARIA SAN ANTONIO,41,2,0,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,2,51, ,ESPOSO,0, , , , , , , , ,1,9,4,4
12,OTUZCO,41,3,1,LA LIBERTAD,OTUZCO,SALPO,2,41,0,CONVIVIENTE,1, ,1, , , , , , , ,4,9,4
12,PATAZ,24,2,0,LA LIBERTAD,PATAZ,PATAZ,3,29,0,CONVIVIENTE,1, , , , , , , , ,1,9,1,6
12,COMISARIA SAN ANTONIO - CAÑETE,26,2,0,LIMA,CAÑETE,MALA,1, , ,CONVIVIENTE, , , , , , ,1, , , ,1,1,6
12,HUANCANE,55,0,0,PUNO,HUANCANE,PUSI,2, , ,DESCONOCIDO, ,1, , , , , , , , ,1,1,6
12,CHILCA,52,0,0,JUNIN,HUANCAYO,CHILCA,2, , ,DESCONOCIDO, , , , , , , , , ,1,1,1,6
